24 2 0 | Od.15.113-Od.15.116 Od.4.613-Od.4.616 | δῶρον δέ ὅσος ἐν ἐμός οἶκος κειμήλιον κεῖμαι δίδωμι ὅς καλός καί τιμήεις εἰμί δίδωμι σύ κρατήρ τεύχω ἀργύρεος δέ εἰμί ἅπας χρυσός δέ
23 2 0 | Od.12.144-Od.12.147 Od.9.177-Od.9.180 | ἑταῖρος αὐτός τε ἀναβαίνω ἀνά τε πρυμνήσιος λύω ὁ δέ αἶψα εἰσβαίνω καί ἐπί κλείς καθίζω ἑξῆς δέ ἕζομαι πολιός ἅλς τύπτω ἐρετμόν
23 2 0 | Od.12.415-Od.12.417 Od.14.305-Od.14.307 | Ζεύς δέ ἄμυδις βροντάω καί ἐμβάλλω ναῦς κεραυνός ὁ δέ ἐλελίζω πᾶς Ζεύς πλήσσω κεραυνός ἐν δέ θεῖον πίμπλημι πίπτω δέ ἐκ ναῦς
23 2 0 | Od.17.163-Od.17.165 Od.19.309-Od.19.311 | γάρ οὗτος ξένος ἔπος τελέω εἰμί τῷ ἄν τάχα γιγνώσκω φιλότης τε πολύς τε δῶρον ἐκ ἐγώ ὡς ἄν τις σύ συνάντομαι μακαρίζω
23 2 0 | Od.17.179-Od.17.181 Od.20.249-Od.20.251 | χλαῖνα μέν κατατίθημι κατά κλισμός τε θρόνος τε ὁ δέ ἱερεύω ὄις μέγας καί πίων αἴξ ἱερεύω δέ ὗς σίαλος καί βοῦς ἀγελαῖος
23 2 0 | Od.17.421-Od.17.424 Od.19.77-Od.19.80 | ἔρχομαι εἰμί δέ δμώς μάλα μυρίος ἄλλος τε πολύς ὅς τε εὖ ζώω καί ἀφνειός καλέω ἀλλά Ζεύς ἀλαπάζω Κρονίων ἐθέλω γάρ πού
23 2 0 | Od.19.144-Od.19.148 Od.24.134-Od.24.138 | ἄν μιν μοῖρα ὀλοός καθαιρέω τανηλεγής θάνατος μή τις ἐγώ κατά δῆμος Ἀχαιίς νεμεσάω εἰ ἄν ἄτερ σπεῖρον κεῖμαι πολύς κτεατίζω ὡς φημί
23 2 0 | Od.2.3-Od.2.5 Od.4.308-Od.4.310 | εἷμα ἕννυμι περί δέ ξίφος ὀξύς τίθημι ὦμος πούς δέ ὑπό λιπαρός δέω καλός πέδιλον βαίνω δέ εἶμι ἐκ θάλαμος θεός ἐναλίγκιος ἄντην
22 2 0 | Od.1.95-Od.1.98 Od.5.44-Od.5.47 | ὑπό πούς δέω καλός πέδιλον ἀμβρόσιος χρύσεος ὁ μιν φέρω ἠμέν ἐπί ὑγρός ἠδέ ἐπί ἀπείρων γαῖα ἅμα πνοή ἄνεμος αἱρέω δέ
22 2 0 | Od.1.287-Od.1.289 Od.2.218-Od.2.220 | εἰ μέν ἄν πατήρ βίοτος καί νόστος ἀκούω ἦ τε ἄν τρύχω πέρ ἔτι τλάω ἐνιαυτός εἰ δέ ἄν θνήσκω ἀκούω μηδέ
22 2 0 | Od.1.421-Od.1.423 Od.18.304-Od.18.306 | ὁ δέ εἰς ὀρχηστύς τε καί ἱμερόεις ἀοιδή τρέπω τέρπω μένω δέ ἐπί ἕσπερος ἔρχομαι ὁ δέ τέρπω μέλας ἐπί ἕσπερος ἔρχομαι
22 3 2 | Od.12.145-Od.12.147 Od.9.178-Od.9.180 Od.9.562-Od.9.564 | αὐτός τε ἀναβαίνω ἀνά τε πρυμνήσιος λύω ὁ δέ αἶψα εἰσβαίνω καί ἐπί κλείς καθίζω ἑξῆς δέ ἕζομαι πολιός ἅλς τύπτω ἐρετμόν
22 2 0 | Od.14.326-Od.14.329 Od.19.295-Od.19.298 | ἕ ἐν μέγαρον κειμήλιον κεῖμαι ἄναξ ὁ δέ εἰς Δωδώνη φημί βαίνω ὄφρα θεός ἐκ δρῦς ὑψίκομος Ζεύς βουλή ἐπακούω ὅπως νοστέω
22 2 0 | Od.17.62-Od.17.64 Od.2.11-Od.2.13 | ἅμα ὁ γε δύο κύων ἀργός ἕπομαι θεσπέσιος δέ ἄρα ὁ γε χάρις καταχεύω Ἀθήνη ὁ δέ ἄρα πᾶς λαός ἐπέρχομαι θεάομαι
22 2 0 | Od.17.535-Od.17.538 Od.2.56-Od.2.59 | αἴξ εἰλαπινάζω πίνω τε αἶθοψ οἶνος μαψίδιος ὁ δέ πολύς κατάνομαι οὐ γάρ ἐπί ἀνήρ οἷος Ὀδυσσεύς εἰμί ἀρή ἀπό οἶκος ἀμύνω
22 2 0 | Od.22.256-Od.22.259 Od.22.273-Od.22.276 | ἐτώσιος τίθημι Ἀθήνη ὁ ἄλλος μέν σταθμός εὐσταθής μέγαρον βάλλω ἄλλος δέ θύρα πυκνός ἀραρίσκω ἄλλος δέ ἐν τοῖχος μελία πίπτω χαλκοβαρής
22 2 0 | Od.23.100-Od.23.102 Od.23.168-Od.23.170 | οὐ μέν ἄν ἄλλος γε ὧδε γυνή τλάω θυμός ἀνήρ ἀφίστημι ὅς ἕ κακός πολύς μογέω ἔρχομαι εἰκοστός ἔτος εἰς πατρίς γαῖα
21 3 2 | Od.1.362-Od.1.364 Od.19.602-Od.19 Od.21.356-Od.21.358 | εἰς δέ ὑπερῷον ἀναβαίνω σύν ἀμφίπολος γυνή κλαίω ἔπειτα Ὀδυσσεύς φίλος πόσις ὄφρα ἕ ὕπνος ἡδύς ἐπί βλέφαρον βάλλω γλαυκῶπις Ἀθήνη
21 2 0 | Od.14.259-Od.14.261 Od.17.428-Od.17.430 | ἔνθα ἦ τοι μέν ἐγώ κέλομαι ἐρίηρος ἑταῖρος αὐτοῦ παρά ναῦς μένω καί ναῦς ἐρύω ὀπτήρ δέ κατά σκοπιά ὀτρύνω νέομαι
21 2 0 | Od.16.286-Od.16.289 Od.19.5-Od.19.8 | πᾶς μάλα ἀτάρ μνηστήρ μαλακός ἔπος παράφημι ὅτε ἄν σύ μεταλλάω ποθέω ἐκ καπνός κατατίθημι ἐπεί οὐκέτι ὁ ἔοικα οἷος ποτέ
21 2 0 | Od.17.87-Od.17.89 Od.4.48-Od.4.50 | ἀσάμινθος βαίνω εὔξεστος λούω ὁ δέ ἐπεί οὖν δμωή λούω καί χρίω ἔλαιον ἀμφί δέ ἄρα χλαῖνα οὖλος βάλλω ἠδέ χιτών
21 2 0 | Od.19.151-Od.19.154 Od.24.141-Od.24.144 | καί πείθω Ἀχαιός ἀλλά ὅτε τέτρατος ἔρχομαι ἔτος καί ἐπέρχομαι ὥρα μείς φθίω περί δέ ἦμαρ πολύς τελέω καί τότε δή
21 2 0 | Od.21.137-Od.21.139 Od.21.164-Od.21.166 | κλίνω κολλητός εὔξεστος σανίς αὐτοῦ δέ ὠκύς βέλος καλός προσκλίνω κορώνη ἄψ δέ αὖθις κατά ἄρα ἕζομαι ἐπί θρόνον ἔνθεν ἀνίστημι
21 2 0 | Od.9.103-Od.9.105 Od.9.563-Od.9.565 | ὁ δέ αἶψα εἰσβαίνω καί ἐπί κλείς καθίζω ἑξῆς δέ ἕζομαι πολιός ἅλς τύπτω ἐρετμόν ἔνθεν δέ προτέρω πλέω ἀχεύω ἦτορ
20 2 0 | Od.12.6-Od.12.8 Od.9.150-Od.9.152 | ἐκ δέ καί αὐτός βαίνω ἐπί ῥηγμίν θάλασσα ἔνθα δέ ἀποβρίζω μένω ἠώς δῖος ἦμος δέ ἠριγένεια φαίνω ῥοδοδάκτυλος ἠώς
