23 2 0 | Il.24.149:3/8-Il.24.152:2/11 Il.24.178:3/8-Il.24.181:2/11 | ἕπομαι γεραιός ὅς ἄν ἰθύνω ἡμίονος καί ἄμαξα εὔτροχος ἠδέ καί αὖθις νεκρός ἄγω πρός ἄστυ ὁ κτείνω δῖος Ἀχιλλεύς μή δέ τις
23 2 0 | Il.9.131:3/10-Il.9.134:1/7 Il.9.273:2/9-Il.9.276:1/8 | δίδωμι μετά δέ εἰμί ὅς τότε ἀπαυράω κόρη Βρισεύς ἐπί δέ μέγας ὅρκος ὄμνυμι μή ποτέ ὁ εὐνή ἐπιβαίνω ἠδέ μίγνυμι ὅς θέμις
22 2 0 | Il.12.348:6/9-Il.12.351:3/9 Il.12.361:6/9-Il.12.364:3/8 | καί νεῖκος ὄρνυμι ἀλλά πέρ οἶος εἶμι Τελαμών ἄλκιμος Αἴας καί ἕ Τεῦκρος ἅμα ἕπομαι τόξον εὖ οἶδα ὡς φημί οὐ δέ
22 2 0 | Il.17.30:1/6-Il.17.32:8/9 Il.20.196:1/6-Il.20.198:8/9 | ἀλλά σύ ἐγώ ἀναχωρέω κελεύω εἰς πληθύς εἶμι μή δέ ἀντίος ἵστημι ἐγώ πρίν τις κακός πάσχω ῥέζω δέ τε νήπιος γιγνώσκω
22 2 0 | Il.24.292:8/9-Il.24.295:6/7 Il.24.310:8/9-Il.24.313:6/7 | αὐτός φίλτατος οἰωνός καί ἕ κράτος εἰμί μέγας δεξιός ὄφρα μιν αὐτός ἐν ὀφθαλμός νοέω ὁ πίσυνος ἐπί ναῦς εἶμι Δαναοί ταχύπωλος
22 2 0 | Il.4.163:0/10-Il.4.165:3/6 Il.6.447:0/10-Il.6.449:3/6 | εὖ γάρ ἐγώ ὅδε οἶδα κατά φρήν καί κατά θυμός εἰμί ἦμαρ ὅτι ἄν ποτέ ὄλλυμι Ἴλιος ἱρός καί Πρίαμος καί λαός
22 2 0 | Il.4.449:1/6-Il.4.451:7/8 Il.8.63:1/6-Il.8.65:7/8 | ἀλλήλων πολύς δέ ὀρυμαγδός ὄρνυμι ἔνθα δέ ἅμα οἰμωγή τε καί εὐχωλή πέλω ἀνήρ ὄλλυμι τε καί ὄλλυμι ῥέω δέ αἷμα γαῖα
22 2 0 | Il.5.494:0/8-Il.5.496:5/6 Il.6.103:0/8-Il.6.105:5/6 | αὐτίκα δέ ἐκ ὄχος σύν τεῦχος ἅλλομαι χαμᾶζε πάλλω δέ ὀξύς δόρυ κατά στρατός οἴχομαι πάντῃ ὀτρύνω μάχομαι ἐγείρω δέ φύλοπις αἰνός
22 2 0 | Il.8.505:0/8-Il.8.507:8/9 Il.8.545:0/8-Il.8.547:8/9 | ἐκ πόλις δέ ἄγω βοῦς καί ἴφιος μῆλον καρπάλιμος οἶνος δέ μελίφρων οἰνίζομαι σῖτος τε ἐκ μέγαρον ἐπί δέ ξύλον πολύς λέγω
21 2 0 | Il.1.466:0/6-Il.1.468:7/8 Il.7.318:0/6-Il.7.320:7/8 | ὀπτάω τε περιφραδής ἐρύω τε πᾶς ἀτάρ ἐπεί παύω πόνος τεύχω τε δαίς δαίνυμι οὐ δέ τις θυμός δέω δαίς ἴσος
21 2 0 | Il.10.208:0/7-Il.10.210:5/6 Il.10.409:0/7-Il.10.411:5/6 | ὅστις τε μητιάω μετά σφεῖς ἤ μέμαα αὖθι μένω παρά ναῦς ἀπόπροθεν ἤ πόλις δέ ἄψ ἀναχωρέω ἐπεί δαμάζω γε Ἀχαιός
21 2 0 | Il.11.330:1/7-Il.11.332:5/6 Il.2.832:1/7-Il.2.834:5/6 | μαντοσύνη οὐ δέ ἑός παῖς ἐάω στείχω εἰς πόλεμος φθισήνωρ ὁ δέ ἕ οὐ τις πείθω κήρ γάρ ἄγω μέλας θάνατος
21 2 0 | Il.14.205:0/8-Il.14.207:6/7 Il.14.304:0/8-Il.14.306:6/7 | ὁ εἶμι ὁράω καί σφεῖς ἄκριτος νεῖκος λύω ἤδη γάρ δηρός χρόνος ἀλλήλων ἀπέχω εὐνή καί φιλότης ἐπεί χόλος ἐμπίπτω θυμός
21 2 0 | Il.20.200:0/7-Il.20.203:1/7 Il.20.431:0/7-Il.20.434:1/11 | Πηλείδης μή δή ἔπος ἐγώ νηπύτιος ὡς ἔλπω δειδίσσομαι ἐπεί σάφα οἶδα καί αὐτός ἠμέν κερτομία ἠδέ αἴσυλος μυθέομαι οἶδα δέ
21 2 0 | Il.3.73:1/8-Il.3.76:1/9 Il.3.256:1/8-Il.3.259:1/9 | δέ ἄλλος φιλότης καί ὅρκιον πιστός τέμνω ναίω Τροία ἐριβῶλαξ ὁ δέ νέομαι Ἄργος εἰς ἱππόβοτος καί Ἀχαιίς καλλιγύναιξ ὡς φημί
